1	2	5.17171851	0.054235951	0	0	0	0.333
2	3	4.93795771	-0.089777378	0	0	0	-0.14
3	4	4.595216658	-0.106995472	0	0	0	0.021
4	5	4.730113122	0.03950576	0	0	0	0.135
5	6	4.559863764	-0.150028856	0	0	0	-0.276
6	7	4.846620275	-0.021810133	0	0	0	0.192
7	8	4.954127891	-0.056504919	0	0	0	-0.216
8	9	4.647767338	0.057054104	0	0	0	0.122
9	10	4.357366005	-0.135803397	0	0	0	0.178
10	11	3.89588616	0.340416836	0	0	0	0.6335
11	12	0.663647112	0.663647112	0	0	0	0.7475
12	13	4.617861363	-0.128432497	0	0	0	0.021
13	14	4.590992171	-0.01643929	0	0	0	0.11
14	15	4.802386425	0.076927348	0	0	0	-0.152
15	16	4.931798798	0.113042267	0	0	0	0.177
16	17	4.487864232	-0.142888009	0	0	0	-0.185
17	18	4.859535501	0.040974179	0	0	0	0.009
18	19	1.556747843	0.217780979	0	0	0	0.8135
19	20	4.813601221	4.813601221	0	0	0	0.6935
20	21	4.533830923	0.056316785	0	0	0	-0.01
21	22	4.91676614	-0.056394155	0	0	0	0.119
22	23	4.77733599	0.032284402	0	0	0	-0.025
23	24	5.112016947	-0.018953654	0	0	0	0
24	25	4.513936646	-0.119441852	0	0	0	-0.001
25	26	4.792219969	-0.129757103	0	0	0	-0.023
26	27	4.730616713	-0.002271551	0	0	0	0.002
27	28	5.060273904	0.155285616	0	0	0	0.033
28	29	4.913004811	-0.099833428	0	0	0	-0.046
29	30	4.843809459	-0.142633896	0	0	0	0.058
30	31	4.855141587	0.012307912	0	0	0	0.005
31	32	4.750678317	0.033920576	0	0	0	-6.092
32	33	4.524595494	0.131283514	0	0	0	-0.036
33	34	2.040382757	0.082828972	0	0	0	0.422
34	35	4.778277411	4.778277411	0	0	0	0.98
35	36	4.829203247	-0.024495544	0	0	0	0.099
36	37	4.981413786	-0.031308212	0	0	0	-0.141
37	38	4.60328798	0.195614441	0	0	0	0.135
38	39	4.722500857	0.008158552	0	0	0	-0.143
39	40	4.521569649	-0.133400126	0	0	0	0.03
40	41	1.845025042	0.183800584	0	0	0	0.953
41	42	4.688818034	4.688818034	0	0	0	0.677
42	43	4.51984014	0.055123033	0	0	0	-0.105
43	44	4.82417994	0.158718159	0	0	0	0.338
44	45	5.016299213	0.012354175	0	0	0	-0.358
